"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"SUCC_INTRA_PAPU_3G_IHSPA_SHO","NUMBER","Yes","",104,"","YES","YES","YES"
"FAIL_INTRA_PAPU_3G_IHSPA_SHO","NUMBER","Yes","",105,"","YES","YES","YES"
"SUCC_INTRA_PAPU_IHSPA_3G_SHO","NUMBER","Yes","",106,"","YES","YES","YES"
"FAIL_INTRA_PAPU_IHSPA_3G_SHO","NUMBER","Yes","",107,"","YES","YES","YES"
"SUCC_IHSPA_INTER_PAPU_RAU","NUMBER","Yes","",108,"","YES","YES","YES"
"FAIL_IHSPA_INTER_PAPU_RAU","NUMBER","Yes","",109,"","YES","YES","YES"
"SUCC_INTER_PAPU_2G_IHSPA_SHO","NUMBER","Yes","",110,"","YES","YES","YES"
"FAIL_INTER_PAPU_2G_IHSPA_SHO","NUMBER","Yes","",111,"","YES","YES","YES"
"SUCC_INTER_PAPU_IHSPA_2G_SHO","NUMBER","Yes","",112,"","YES","YES","YES"
"FAIL_INTER_PAPU_IHSPA_2G_SHO","NUMBER","Yes","",113,"","YES","YES","YES"
"SUCC_INTER_PAPU_3G_IHSPA_SHO","NUMBER","Yes","",114,"","YES","YES","YES"
"FAIL_INTER_PAPU_3G_IHSPA_SHO","NUMBER","Yes","",115,"","YES","YES","YES"
"SUCC_INTER_PAPU_IHSPA_3G_SHO","NUMBER","Yes","",116,"","YES","YES","YES"
"FAIL_INTER_PAPU_IHSPA_3G_SHO","NUMBER","Yes","",117,"","YES","YES","YES"
"SUCC_IHSPA_INTER_SGSN_RAU","NUMBER","Yes","",118,"","YES","YES","YES"
"FAIL_IHSPA_INTER_SGSN_RAU","NUMBER","Yes","",119,"","YES","YES","YES"
"DIRECT_TUN_TO_TWO_DUE_P_LIMIT","NUMBER","Yes","",120,"","YES","YES","YES"
"AVG_DS_PDP_CONT_SUM","NUMBER","Yes","",121,"","YES","YES","YES"
"AVG_DS_PDP_CONT_DEN","NUMBER","Yes","",122,"","YES","YES","YES"
"PEAK_DS_PDP_CONT","NUMBER","Yes","",123,"","YES","YES","YES"
"AVG_S4_DS_PDP_CONT_SUM","NUMBER","Yes","",124,"","YES","YES","YES"
"AVG_S4_DS_PDP_CONT_DEN","NUMBER","Yes","",125,"","YES","YES","YES"
"PEAK_S4_DS_PDP_CONT","NUMBER","Yes","",126,"","YES","YES","YES"
"FINS_ID","NUMBER","No","",1,"","YES","YES","YES"
"PAPU_INDEX","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",3,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",4,"","YES","YES","YES"
"PAPU_GROUP","NUMBER","Yes","",5,"","YES","YES","YES"
"PAPU_PHY","NUMBER","Yes","",6,"","YES","YES","YES"
"PAPU_CAPA","NUMBER","Yes","",7,"","YES","YES","YES"
"PAPU_SM","NUMBER","Yes","",8,"","YES","YES","YES"
"RTPDP_CAPA","NUMBER","Yes","",9,"","YES","YES","YES"
"ABL_RTPDP","NUMBER","Yes","",10,"","YES","YES","YES"
"BL_RTPDP","NUMBER","Yes","",11,"","YES","YES","YES"
"AVG_ATTACH_GB_USERS_SUM","NUMBER","Yes","",12,"","YES","YES","YES"
"AVG_ATTACH_GB_USERS_DEN","NUMBER","Yes","",13,"","YES","YES","YES"
"MIN_ATTACH_GB_USERS","NUMBER","Yes","",14,"","YES","YES","YES"
"PEAK_ATTACH_GB_USERS","NUMBER","Yes","",15,"","YES","YES","YES"
"AVG_ATTACH_IU_USERS_SUM","NUMBER","Yes","",16,"","YES","YES","YES"
"AVG_ATTACH_IU_USERS_DEN","NUMBER","Yes","",17,"","YES","YES","YES"
"MIN_ATTACH_IU_USERS","NUMBER","Yes","",18,"","YES","YES","YES"
"PEAK_ATTACH_IU_USERS","NUMBER","Yes","",19,"","YES","YES","YES"
"MIN_ATTACH_USERS_GB_IU","NUMBER","Yes","",20,"","YES","YES","YES"
"PEAK_ATTACH_USERS_GB_IU","NUMBER","Yes","",21,"","YES","YES","YES"
"AVG_PC1_PDP_CONT_SUM","NUMBER","Yes","",22,"","YES","YES","YES"
"AVG_PC1_PDP_CONT_DEN","NUMBER","Yes","",23,"","YES","YES","YES"
"MIN_PC1_PDP_CONT","NUMBER","Yes","",24,"","YES","YES","YES"
"PEAK_PC1_PDP_CONT","NUMBER","Yes","",25,"","YES","YES","YES"
"AVG_PC2_PDP_CONT_SUM","NUMBER","Yes","",26,"","YES","YES","YES"
"AVG_PC2_PDP_CONT_DEN","NUMBER","Yes","",27,"","YES","YES","YES"
"MIN_PC2_PDP_CONT","NUMBER","Yes","",28,"","YES","YES","YES"
"PEAK_PC2_PDP_CONT","NUMBER","Yes","",29,"","YES","YES","YES"
"AVG_PC3_PDP_CONT_SUM","NUMBER","Yes","",30,"","YES","YES","YES"
"AVG_PC3_PDP_CONT_DEN","NUMBER","Yes","",31,"","YES","YES","YES"
"MIN_PC3_PDP_CONT","NUMBER","Yes","",32,"","YES","YES","YES"
"PEAK_PC3_PDP_CONT","NUMBER","Yes","",33,"","YES","YES","YES"
"AVG_PC4_PDP_CONT_SUM","NUMBER","Yes","",34,"","YES","YES","YES"
"AVG_PC4_PDP_CONT_DEN","NUMBER","Yes","",35,"","YES","YES","YES"
"MIN_PC4_PDP_CONT","NUMBER","Yes","",36,"","YES","YES","YES"
