COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,COLUMN_ID,COMMENTS,INSERTABLE,UPDATABLE,DELETABLE
SUCC_NWR_DEACT_REACT_GGSN_REST,NUMBER,Yes,,122,,YES,YES,YES
SUCC_NWR_DEACT_REACT_GGSN_FAIL,NUMBER,Yes,,123,,YES,YES,YES
FAIL_PDP_ACT_MAC_TRANSMISSION,NUMBER,Yes,,124,,YES,YES,YES
FAIL_PDP_ACT_CONTACT_LOST,NUMBER,Yes,,125,,YES,YES,YES
FAIL_PDP_ACT_CS_CALL,NUMBER,Yes,,126,,YES,YES,YES
FAIL_PDP_ACT_MS_PROTOCOL_ERROR,NUMBER,Yes,,127,,YES,YES,YES
FAIL_IMPL_DEACT_GGSN_NO_ANSWER,NUMBER,Yes,,128,,YES,YES,YES
FAIL_IMPL_DEACT_SCP_NO_ANSWER,NUMBER,Yes,,129,,YES,YES,YES
FAIL_IMPL_DEACT_INTERNAL_ERROR,NUMBER,Yes,,130,,YES,YES,YES
SUCC_DEACT_SE_MO_DETACH_RAU,NUMBER,Yes,,131,,YES,YES,YES
SUCC_DEACT_SE_GGSN_RESET,NUMBER,Yes,,132,,YES,YES,YES
SUCC_DEACT_SE_CHANGE_BY_HLR,NUMBER,Yes,,133,,YES,YES,YES
SUCC_DEACT_SE_XID_LLC_SNDCP,NUMBER,Yes,,134,,YES,YES,YES
FAIL_DEACT_SE_MO_DETACH_RAU,NUMBER,Yes,,135,,YES,YES,YES
FAIL_DEACT_SE_CHANGE_BY_HLR,NUMBER,Yes,,136,,YES,YES,YES
FAIL_DEACT_SE_LLC_SNDCP_DEACT,NUMBER,Yes,,137,,YES,YES,YES
FAIL_DEACT_SE_SCP_DEACT,NUMBER,Yes,,138,,YES,YES,YES
FAIL_DEACT_SE_GGSN_INIT_MOD,NUMBER,Yes,,139,,YES,YES,YES
FAIL_DEACT_SE_SCP_INIT_MOD,NUMBER,Yes,,140,,YES,YES,YES
SUCC_IMPL_DEACT_SE_REACT,NUMBER,Yes,,141,,YES,YES,YES
SUCC_IMPL_DEACT_SE_COLLISIONS,NUMBER,Yes,,142,,YES,YES,YES
FAIL_PDP_ACT_DUE_NO_RESP,NUMBER,Yes,,143,,YES,YES,YES
TEMP002138,NUMBER,Yes,,144,,YES,YES,YES
TEMP002139,NUMBER,Yes,,145,,YES,YES,YES
TEMP002140,NUMBER,Yes,,146,,YES,YES,YES
TEMP002141,NUMBER,Yes,,147,,YES,YES,YES
TEMP002142,NUMBER,Yes,,148,,YES,YES,YES
TEMP002143,NUMBER,Yes,,149,,YES,YES,YES
TEMP002144,NUMBER,Yes,,150,,YES,YES,YES
TEMP002145,NUMBER,Yes,,151,,YES,YES,YES
TEMP002146,NUMBER,Yes,,152,,YES,YES,YES
TEMP002147,NUMBER,Yes,,153,,YES,YES,YES
MO_SEC_PDP_ACT_F_MUL_PDP_CTX,NUMBER,Yes,,154,,YES,YES,YES
MO_PDP_ACT_F_MUL_PDP_CTX,NUMBER,Yes,,155,,YES,YES,YES
SUCC_MO_PDP_CTX_ACT_SGW,NUMBER,Yes,,156,,YES,YES,YES
