"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"EPS_TAU_ATTEMPT","NUMBER","Yes","",111,"","YES","YES","YES"
"EPS_COMBINED_TAU_ATTEMPT","NUMBER","Yes","",112,"","YES","YES","YES"
"EPS_TAU_HSS_RESTRIC_FAIL","NUMBER","Yes","",113,"","YES","YES","YES"
"EPS_TAU_HSS_NO_ROAM_FAIL","NUMBER","Yes","",114,"","YES","YES","YES"
"EPS_TAU_HSS_NO_RESPONSE_FAIL","NUMBER","Yes","",115,"","YES","YES","YES"
"EPS_TAU_EIR_NO_RESP_FAIL","NUMBER","Yes","",116,"","YES","YES","YES"
"EPS_TAU_IMEI_BLOCKED_FAIL","NUMBER","Yes","",117,"","YES","YES","YES"
"EPS_TAU_DNS_NO_NAME_FOUND_FAIL","NUMBER","Yes","",118,"","YES","YES","YES"
"EPS_TAU_SGW_CRE_SESS_FAIL","NUMBER","Yes","",119,"","YES","YES","YES"
"EPS_TAU_SGW_MOD_BEARER_FAIL","NUMBER","Yes","",120,"","YES","YES","YES"
"EPS_TAU_INITIAL_CONTEXT_FAIL","NUMBER","Yes","",121,"","YES","YES","YES"
"EPS_TAU_UE_SEC_UNSUPP_FAIL","NUMBER","Yes","",122,"","YES","YES","YES"
"EPS_TAU_AKA_FAIL","NUMBER","Yes","",123,"","YES","YES","YES"
"EPS_TAU_SMC_FAIL","NUMBER","Yes","",124,"","YES","YES","YES"
"EPS_TAU_LOCAL_NO_ROAM_FAIL","NUMBER","Yes","",125,"","YES","YES","YES"
"EPS_TAU_COLLISION_FAIL","NUMBER","Yes","",126,"","YES","YES","YES"
"EPS_TAU_UNSPECIFIED_FAIL","NUMBER","Yes","",127,"","YES","YES","YES"
"EPS_TAU_CONTEXT_REQ_FAIL","NUMBER","Yes","",128,"","YES","YES","YES"
"EPS_ATT_REJ_RESTRIC_TAI_HOME","NUMBER","Yes","",129,"","YES","YES","YES"
"EPS_ATT_REJ_RESTRIC_TAI_ROAM","NUMBER","Yes","",130,"","YES","YES","YES"
"EPS_TAU_REJ_RESTRIC_TAI_HOME","NUMBER","Yes","",131,"","YES","YES","YES"
"EPS_TAU_REJ_RESTRIC_TAI_ROAM","NUMBER","Yes","",132,"","YES","YES","YES"
"EPS_SERV_REQ_RESTRIC_TAI_HOME","NUMBER","Yes","",133,"","YES","YES","YES"
"EPS_SERV_REQ_RESTRIC_TAI_ROAM","NUMBER","Yes","",134,"","YES","YES","YES"
"EPS_ESR_REJ_RESTRIC_TAI_HOME","NUMBER","Yes","",135,"","YES","YES","YES"
"EPS_ESR_REJ_RESTRIC_TAI_ROAM","NUMBER","Yes","",136,"","YES","YES","YES"
"EPS_HO_REJ_RESTRIC_TAI_HOME","NUMBER","Yes","",137,"","YES","YES","YES"
"EPS_HO_REJ_RESTRIC_TAI_ROAM","NUMBER","Yes","",138,"","YES","YES","YES"
"INTERMME_S1HO_SGW_CHG_IN_SUCC","NUMBER","Yes","",139,"","YES","YES","YES"
"INTERMME_TAU_SGW_CHG_IN_SUCC","NUMBER","Yes","",140,"","YES","YES","YES"
"EPS_HO_MME_SELECTION_FAIL","NUMBER","Yes","",141,"","YES","YES","YES"
"EPS_HO_FORWARD_REL_OUT_FAIL","NUMBER","Yes","",142,"","YES","YES","YES"
"EPS_HO_SESSION_CRE_FAIL","NUMBER","Yes","",143,"","YES","YES","YES"
"EPS_HO_PREPARATION_FAIL","NUMBER","Yes","",144,"","YES","YES","YES"
"EPS_HO_FORWARD_REL_IN_FAIL","NUMBER","Yes","",145,"","YES","YES","YES"
"EPS_HO_EXEC_TIMER_OUT_FAIL","NUMBER","Yes","",146,"","YES","YES","YES"
